sentence_a,sentence_b,answer
Chinese stocks open higher - Apr 2,Chinese stocks open lower Thursday,1
'It's either too late or too early to intervene in Syria',UN Chief: Inspectors need 4 days to conclude probe in Syria,1
05:26 Bo Xilai convicted of corruption,Bo Xilai indicted for corruption,3
Greek police arrest German on suspicion of spying,Israel press bemoans price of talks resumption,0
Shanghai stock indices close mixed -- Nov. 11,Shanghai stock indices close higher -- July 23,1
Third victim of Santa Barbara shooting identified,5th victim of Santa Monica shooting dies,1
Police fire teargas on Venezuelan vote protesters,Chavez heir Maduro wins Venezuela's presidency,0
Syrian army retakes historic Crusader castle,00:00 Syrian troops capture fabled Crusader castle,3
"Polarizers do block light, as they are designed to filter out light coming from certain directions.","Aside from focal length, the most important thing to consider is the maximum aperture of the lens.",1
"If you are a member of Costco, their prints are great.","They're not the cheapest, but the quality is superb, so I'm a fan of WHCC.",0
"For what it's worth, dirt on the lens might not be as detrimental as you would think.","Regular dish washing fluid is great for removing grease, as it not only dissolves it but also binds it.",0
"If you're not feeling the limitations of your point-and-shoot camera, then you probably don't need a DSLR.",They aren't better per se; They just tend to allow greater artistic control over the result.,0
Ukraine leader pledges crisis talks,Ukraine Leader Pledges Crisis Talks,5
Palestinian diplomat injured in explosion in Prague,Palestinian ambassador injured in apartment blast,4
Top Chinese political advisor meets Greek PM,Top Chinese political advisor meets Yemeni president,2
Twin suicide bombings hit Iraq camp,11 killed in twin Iraq suicide bombings,3
Bradley Manning acquitted of aiding the enemy,Wikileaks soldier Bradley Manning acquitted of aiding the enemy,4
Russian parliament allows Putin to use military in Ukraine,Russia has no intention to incorporate southeastern Ukraine: FM,1
Uganda's president signs anti-gay bill,Uganda's president signs harsh anti-gay law,4
Typhoon death toll rises to 3633,Egyptian death toll rises to 638,0
Two dogs approach each other in the grass.,Two dogs face off of each other on the grass.,4
A large tan dog is running with a green item in its mouth,The tan dog is carrying a green squeak toy in its mouth.,4
The man is sitting with a little girl in the park.,The man is playing with the shaggy little dog.,0
White and brown dog with mouth open running on grass.,A white dog with patches of brown and black on his eye is running through green grass.,4
All gunmen in attack on Afghan presidential palace killed,Algeria: Belaid says he will continue presidential campaign,0
Ship hunting for more pings in missing Malaysian plane search,Australian ship trawls for signals from missing Malaysia plane,3
Gang violence kills 16 in Venezuelan prison,Sixteen killed in Venezuela prison,3
Judge OKs force-feeding California inmates,U.S. judge approves force-feeding Californian inmates on hunger strik,4
you can jump to the moon.,you can read about the case below.,0
just say you would like help in working out access for your son.,"""you've ridden on our backs for too long...",0
"without students, this country would lose all its technically gifted people, would lose all its main surgeons and researchers and all its very well educated employees.",the parents of the youth would go on the web site to see all the kind remarks about their child and then see the negative crap also.,0
"no one i phoned had any record of a will for him, so the solicitors are happy to proceed along this line.",none of them conformed to the conditions set out and agreed to by the allies.,0
furthermore detroit is not the only part of michigan ok i just want to respond to a couple things said within this thread.,"vor: sorry to interupt you, but i just want to get something straight here.",0
but could you elaborate on why you think this isn't an expression of patriarchy?,am i the only one who thinks this is messed up?,0
people who design the parts the robots make.,but when i went the first time.,0
in australia you know straight away the difference as soon as you arrive in an aboriginal community.,even you have to know there is a difference between a misdemeanor and a felony.,0
Luxembourg PM quits amid spying scandal,Luxembourg votes after spying row,1
"Ehud Olmert, former Israeli prime minister, sentenced to six years in jail for corruption",Ehud Olmert sentenced to six years in Israel,3
Foreign exchange rates in Singapore,Foreign exchange rates in Hong Kong,1
Israel Carrying Out Ground Offensive In Gaza,Israel Launches Ground Offensive In Gaza,4
A man doing a trick on a skateboard.,A man in mid air on a skateboard.,3
A woman wearing large sunglasses holds newspapers in both hands.,A fat woman wearing faint blue top is blowing soap bubble.,0
A man is swinging on a rope over water.,A man in a maroon bathing suit swings on a rope on a lake.,1
Two dogs are playing catch in a field.,Two dogs are chasing each other in a yard.,2
Explosions kill 29 outside two mosques in Lebanon's Tripoli,Blasts kill 27 outside two mosques in Lebanon's Tripoli,3
